monotonic_s,ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,mx_gauss,my_gauss,mz_gauss,roll_deg,pitch_deg,yaw_deg
26936.879894,0.00718,0.13041,-10.08694,-13.0725,8.8375,3.1150,-0.82070,-0.23287,1.12114,-170.889,10.093,-77.817
26936.879894,0.01077,0.12443,-10.08694,-12.9500,8.9425,3.1325,-0.82070,-0.23287,1.12114,-171.227,9.808,-77.897
26936.879894,0.01316,0.12203,-10.09771,-12.9500,9.0125,3.0450,-0.82070,-0.23287,1.12114,-171.558,9.527,-77.973
26936.879894,0.00957,0.12802,-10.07977,-12.8625,8.9425,3.1150,-0.82070,-0.23287,1.12114,-171.881,9.253,-78.048
26936.879894,0.00837,0.13998,-10.09651,-13.0725,8.9425,3.1150,-0.82070,-0.23287,1.12114,-172.201,8.983,-78.121
26936.879894,0.00598,0.12443,-10.08096,-12.9675,8.8725,3.0800,-0.82070,-0.23287,1.12114,-172.511,8.720,-78.190
26936.879894,0.01436,0.11964,-10.08814,-13.0025,8.9600,3.0800,-0.81751,-0.22620,1.12230,-172.815,8.459,-78.257
26936.879894,0.01077,0.13759,-10.07977,-13.0200,8.9425,3.0625,-0.81751,-0.22620,1.12230,-173.114,8.203,-78.323
26936.981964,0.01675,0.12443,-10.07618,-12.9325,8.8725,3.0975,-0.81751,-0.22620,1.12230,-173.405,7.953,-78.386
26936.981964,0.01795,0.12562,-10.08575,-13.0725,9.0650,3.1500,-0.81751,-0.22620,1.12230,-173.691,7.705,-78.448
26936.981964,0.01196,0.12323,-10.08814,-13.0025,8.9950,3.1675,-0.81751,-0.22620,1.12230,-173.970,7.463,-78.508
26936.981964,0.00837,0.12682,-10.08335,-13.0550,8.9250,3.1850,-0.81751,-0.22620,1.12230,-174.244,7.226,-78.567
26936.981964,0.00598,0.12921,-10.08335,-12.9325,8.7325,3.0100,-0.81751,-0.22620,1.12230,-174.511,6.996,-78.622
26936.981964,0.00718,0.12921,-10.07618,-13.0725,8.8900,3.1325,-0.81751,-0.22620,1.12230,-174.774,6.769,-78.677
26936.981964,0.00718,0.12921,-10.09053,-12.8975,8.9600,3.0275,-0.81751,-0.22620,1.12230,-175.030,6.545,-78.730
26936.981964,0.00598,0.12443,-10.09891,-13.0900,8.9250,3.0100,-0.81751,-0.22620,1.12230,-175.282,6.325,-78.780
26936.981964,0.00957,0.12921,-10.08216,-13.0200,8.8900,2.9575,-0.81490,-0.23113,1.12549,-175.528,6.110,-78.829
26936.981964,0.00957,0.12443,-10.07977,-12.9675,8.9425,3.0975,-0.81490,-0.23113,1.12549,-175.768,5.899,-78.878
26937.074080,0.01077,0.12323,-10.07618,-12.8975,8.9600,3.0625,-0.81490,-0.23113,1.12549,-176.002,5.691,-78.925
26937.074080,0.00718,0.11964,-10.08335,-13.0025,9.0475,3.0625,-0.81490,-0.23113,1.12549,-176.232,5.486,-78.971
26937.074080,0.00957,0.12562,-10.09891,-12.9150,8.9950,3.0450,-0.81490,-0.23113,1.12549,-176.457,5.286,-79.016
26937.074080,0.01555,0.13161,-10.08694,-13.0375,8.8375,3.1850,-0.81490,-0.23113,1.12549,-176.680,5.090,-79.061
26937.074080,0.00837,0.12921,-10.09053,-12.8975,8.8375,3.1675,-0.81490,-0.23113,1.12549,-176.896,4.899,-79.105
